       c1::value              param::trise              q1::cgso              r2::value              transient.sim::overshoot(v(l1:2))              transient.sim::v(q1:d)              transient.sim::yatlastx(avg(w(r2)))       
1.0000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 10.000000000000 119.91663022411 100.00143432617 0.032177547717599 
1.0000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 10.000000000000 119.98219251272 99.971595764160 0.032427977371297 
1.0000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 21.000000000000 119.91413765501 100.00222778320 0.060323756728097 
1.0000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 21.000000000000 119.91074873925 100.00392150879 0.065547800494461 
1.0000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 32.000000000000 119.93096832948 99.994262695313 0.089555258203740 
1.0000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 32.000000000000 119.82800604672 100.04084777832 0.089289133422635 
1.0000000000000e-010 5.0000000000000e-009 1.4100000000000e-010 10.000000000000 119.94322667600 99.989341735840 0.030882187614400 
1.0000000000000e-010 5.0000000000000e-009 1.4100000000000e-009 10.000000000000 119.94331819524 99.989265441895 0.032618461593076 
1.0000000000000e-010 5.0000000000000e-009 1.4100000000000e-010 21.000000000000 119.92817087982 99.995895385742 0.059195431143635 
1.0000000000000e-010 5.0000000000000e-009 1.4100000000000e-009 21.000000000000 119.88281824791 100.01662445068 0.067122290200737 
1.0000000000000e-010 5.0000000000000e-009 1.4100000000000e-010 32.000000000000 119.91652151251 100.00098419189 0.089483881979979 
1.0000000000000e-010 5.0000000000000e-009 1.4100000000000e-009 32.000000000000 119.91526739461 100.00115203857 0.089146276905253 
1.0000000000000e-010 1.0000000000000e-008 1.4100000000000e-010 10.000000000000 119.93268349523 99.994232177734 0.030603736975354 
1.0000000000000e-010 1.0000000000000e-008 1.4100000000000e-009 10.000000000000 119.91623514857 100.00157928467 0.032211802373293 
1.0000000000000e-010 1.0000000000000e-008 1.4100000000000e-010 21.000000000000 119.92695963889 99.996383666992 0.060898311829383 
1.0000000000000e-010 1.0000000000000e-008 1.4100000000000e-009 21.000000000000 119.86717020922 100.02374267578 0.065037712080022 
1.0000000000000e-010 1.0000000000000e-008 1.4100000000000e-010 32.000000000000 119.92580021204 99.996765136719 0.089402561776126 
1.0000000000000e-010 1.0000000000000e-008 1.4100000000000e-009 32.000000000000 119.85786802960 100.02725982666 0.090286081372047 
1.4000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 10.000000000000 119.93666496416 99.992172241211 0.054651793612956 
1.4000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 10.000000000000 119.92275883116 99.998474121094 0.064158251921070 
1.4000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 21.000000000000 119.92554637398 99.996047973633 0.12152262004426 
1.4000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 21.000000000000 119.98976256149 99.967094421387 0.11908576137831 
1.4000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 32.000000000000 119.92331604763 99.996826171875 0.15833264678967 
1.4000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 32.000000000000 119.98167944244 99.970344543457 0.17456064631152 
1.4000000000000e-010 5.0000000000000e-009 1.4100000000000e-010 10.000000000000 119.92459232123 99.997619628906 0.055188266874191 
1.4000000000000e-010 5.0000000000000e-009 1.4100000000000e-009 10.000000000000 119.95994745125 99.981567382813 0.063794840441827 
1.4000000000000e-010 5.0000000000000e-009 1.4100000000000e-010 21.000000000000 119.92451398698 99.996940612793 0.11613168342982 
1.4000000000000e-010 5.0000000000000e-009 1.4100000000000e-009 21.000000000000 119.85514354076 100.02830505371 0.11919919150631 
1.4000000000000e-010 5.0000000000000e-009 1.4100000000000e-010 32.000000000000 119.92230473126 99.997306823730 0.16231983616067 
1.4000000000000e-010 5.0000000000000e-009 1.4100000000000e-009 32.000000000000 119.92367455320 99.996711730957 0.17392034927879 
1.4000000000000e-010 1.0000000000000e-008 1.4100000000000e-010 10.000000000000 119.92683165023 99.996643066406 0.055056937013202 
1.4000000000000e-010 1.0000000000000e-008 1.4100000000000e-009 10.000000000000 120.00821407018 99.959632873535 0.064487026358319 
1.4000000000000e-010 1.0000000000000e-008 1.4100000000000e-010 21.000000000000 119.92267709114 99.997352600098 0.12072532743350 
1.4000000000000e-010 1.0000000000000e-008 1.4100000000000e-009 21.000000000000 119.81440273798 100.04684448242 0.11987797832058 
1.4000000000000e-010 1.0000000000000e-008 1.4100000000000e-010 32.000000000000 119.92232151045 99.997299194336 0.16239969694574 
1.4000000000000e-010 1.0000000000000e-008 1.4100000000000e-009 32.000000000000 119.94963534383 99.984909057617 0.17582567493092 
1.8000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 10.000000000000 119.92439670413 99.997222900391 0.088049011092949 
1.8000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 10.000000000000 120.02582738701 99.951339721680 0.096223681835488 
1.8000000000000e-010 1.0000000000000e-009 1.4100000000000e-010 21.000000000000 119.92215014411 99.996704101563 0.17384947105416 
1.8000000000000e-010 1.0000000000000e-009 1.4100000000000e-009 21.000000000000 119.93090513751 99.993354797363 0.19721771871174 
